Cluster	0H	0.5H	2H	4H	24H
C12	44.40	73.80	50.7	86.8	42.5
C15	117.00	59.00	61.2	50.9	101.6
C14	55.10	40.40	34.2	42.6	56
C11	135.20	166.00	130.9	150.8	121.1
C1	535.60	746.10	1004.4	620.1	564.8
C5	232.80	145.80	128.5	111.1	217
C5	249.40	158.60	166.5	103.1	239.3
C11	227.60	348.20	288.2	377.4	282.6
C37	454.00	386.80	340.8	339	417
C43	159.70	204.40	207.2	241.6	138.3
C25	323.00	550.80	414.2	1348.3	367.2
C5	292.20	192.60	267.4	178.9	294.6
C6	1,004.40	857.00	550.8	458.2	1004.4
C5	272.80	209.00	244.4	225	284.4
C27	709.20	789.00	506.6	620.1	755
C18	86.80	71.60	42.6	82.5	83.4
C1	526.60	594.40	857	458.2	538.4
C1	392.00	550.80	772	880.3	467.6
C5	340.80	231.60	304.8	250.2	370.6
C17	43.00	28.60	37.8	54.4	30
C26	83.40	179.60	201.7	133.8	110.1
C9	52.40	16.20	30	23.7	36.4
C17	81.20	45.80	57	58.4	60.9
C13	184.70	213.60	174	255.1	174
C13	150.80	204.40	185	159.7	166.4
C13	155.70	199.40	165.4	196.4	151.4
C13	205.00	231.60	211.4	268.2	210.7
C5	258.60	152.60	233.8	150.8	262.6
C6	451.20	231.60	242.1	139.4	392
C6	285.00	129.00	126.4	133.8	250.8
C2	1,768.60	1,754.00	1747.6	1839.8	1760.4
C5	300.40	223.60	297	316.5	319
C44	903.60	1,081.00	737.2	1160	903.6
C17	42.50	16.20	28	29.7	25.8
C18	98.20	66.60	38.6	77.2	72
C17	20.20	13.40	16.6	26.4	15.8
C18	132.60	308.20	252.4	458.2	158.6
C17	40.60	22.90	31.1	39	23.2
C6	819.80	642.20	471.8	354.8	815.4
C3	46.90	59.00	81.8	77.2	55.2
C22	51.30	80.20	77.2	82.5	44.7
C20	82.20	228.00	265.8	232.8	121.1
C48	288.10	174.00	152.4	139.4	244.4
C24	307.30	283.80	235.8	377.4	292.8
C24	307.30	280.80	277.2	354.8	278.8
C24	538.40	293.40	318.4	288.1	454
C31	140.20	174.00	170.9	255.1	123.5
C31	211.50	172.00	110.7	188.3	179.6
C24	278.30	300.40	223.9	389.4	273.2
C6	163.60	88.60	66.8	95	117.2
C6	377.40	213.60	181.1	206.4	329.6
C31	228.40	172.00	99.6	206.4	174
C6	361.10	204.40	152.4	264.2	308.2
C24	343.40	324.80	277.2	431.4	300.4
C24	262.60	252.40	223.9	405.9	245.8
C31	275.40	219.60	167.6	188.3	249.4
C6	644.80	418.40	362.4	363.5	642.2
